瘤痢,斥档,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公
,,惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚)
合碍釜,2016,2016-03-19,-5老,2016-04-04,0老,2016-04-06,-1老
合碍釜,2017,2017-03-19,-5老,2017-04-03,-1老,2017-04-04,-3老
合碍釜,2018,2018-03-22,-2老,2018-03-31,-4老,2018-04-02,-5老
合碍釜,2019,2019-03-20,-4老,2019-03-31,-4老,2019-04-04,-3老
合碍釜,2020,2020-03-21,-3老,2020-03-26,-9老,2020-03-30,-8老
合碍釜,2021,2021-03-19,-5老,2021-03-28,-7老,2021-03-31,-7老
合碍釜,2022,2022-03-27,3老,2022-04-06,2老,2022-04-10,3老
合碍釜,2023,2023-03-09,-15老,2023-03-26,-9老,2023-03-29,-9老
合碍釜,2024,2024-03-08,-16老,2024-04-05,1老,2024-04-09,2老
合碍釜,2025,2025-03-15,-9老,2025-04-01,-3老,2025-04-06,-1老
合冕玫,2017,2017-04-03,1老,2017-04-11,0老,2017-04-13,1老
合冕玫,2018,2018-04-01,-1老,2018-04-06,-5老,2018-04-08,-4老
合冕玫,2019,2019-04-02,0老,2019-04-07,-4老,2019-04-14,2老
合冕玫,2020,2020-03-30,-3老,2020-04-01,-10老,2020-04-05,-7老
合冕玫,2021,2021-03-26,-7老,2021-04-01,-10老,2021-04-05,-7老
合冕玫,2022,2022-04-01,-1老,2022-04-11,0老,2022-04-12,0老
合冕玫,2023,2023-03-27,-6老,2023-04-01,-10老,2023-04-03,-9老
合冕玫,2024,2024-03-25,-8老,2024-04-03,-8老,2024-04-08,-4老
合冕玫,2025,2025-03-23,-10老,2025-04-08,-3老,2025-04-13,1老
冕玫,2016,2016-03-27, ,2016-04-05, ,2016-04-07, 
荐盔,2016,2016-03-25,-4老,2016-04-02,-6老,2016-04-06,-5老
荐盔,2017,2017-03-22,-7老,2017-04-08,0老,2017-04-10,-1老
荐盔,2018,2018-03-22,-7老,2018-04-02,-6老,2018-04-03,-8老
荐盔,2019,2019-03-23,-6老,2019-04-07,-1老,2019-04-10,-1老
荐盔,2020,2020-03-26,-3老,2020-03-31,-8老,2020-04-05,-6老
荐盔,2021,2021-03-24,-5老,2021-03-29,-10老,2021-03-31,-11老
荐盔,2022,2022-03-30,1老,2022-04-11,3老,2022-04-12,1老
荐盔,2023,2023-03-25,-4老,2023-03-30,-9老,2023-04-01,-10老
荐盔,2024,2024-03-31,2老,2024-04-03,-5老,2024-04-10,-1老
荐盔,2025,2025-04-02,4老,2025-04-07,-1老,2025-04-11,0老
芒盔,2016,2016-03-21,8老,2016-03-28,-1老,2016-04-03,0老
芒盔,2017,2017-03-14,1老,2017-03-27,-2老,2017-04-01,-2老
芒盔,2018,2018-03-14,1老,2018-03-28,-1老,2018-03-31,-3老
芒盔,2019,2019-03-11,-2老,2019-03-21,-8老,2019-03-27,-7老
芒盔,2020,2020-03-09,-4老,2020-03-23,-6老,2020-03-26,-8老
芒盔,2021,2021-03-10,-3老,2021-03-18,-11老,2021-03-23,-11老
芒盔,2022,2022-03-14,1老,2022-03-27,-2老,2022-03-31,-3老
芒盔,2023,2023-03-11,-2老,2023-03-21,-8老,2023-03-27,-7老
芒盔,2024,2024-03-16,3老,2024-03-23,-6老,2024-03-31,-3老
芒盔,2025,2025-03-20,7老,2025-03-27,-2老,2025-04-02,-1老
救悼,2016,2016-03-23,-2老,2016-04-02,-3老,2016-04-05,-3老
救悼,2017,2017-04-03,9老,2017-04-05,0老,2017-04-07,-1老
救悼,2018,2018-03-28,3老,2018-03-30,-6老,2018-04-01,-7老
救悼,2019,2019-03-25,0老,2019-03-30,-6老,2019-04-02,-6老
救悼,2020,2020-03-24,-1老,2020-03-27,-9老,2020-03-28,-11老
救悼,2021,2021-03-22,-3老,2021-03-26,-10老,2021-03-30,-9老
救悼,2022,2022-03-28,3老,2022-04-02,-3老,2022-04-07,-1老
救悼,2023,2023-03-09,-16老,2023-03-23,-13老,2023-03-27,-12老
救悼,2024,2024-03-17,-8老,2024-04-01,-4老,2024-04-02,-6老
救悼,2025,2025-03-25,0老,2025-04-02,-3老,2025-04-07,-1老
匡釜档,2016,2016-03-27,1老,2016-04-02,-3老,2016-04-06,-3老
匡釜档,2017,2017-03-22,-4老,2017-04-03,-2老,2017-04-07,-2老
匡釜档,2018,2018-03-23,-3老,2018-04-02,-3老,2018-04-09,0老
匡釜档,2019,2019-03-18,-8老,2019-03-20,-16老,2019-03-26,-14老
匡釜档,2020,2020-03-22,-4老,2020-03-25,-11老,2020-03-31,-9老
匡釜档,2021,2021-03-22,-4老,2021-03-24,-12老,2021-03-28,-12老
匡釜档,2022,2022-03-26,0老,2022-04-04,-1老,2022-04-06,-3老
匡釜档,2023,2023-03-11,-15老,2023-03-20,-16老,2023-03-24,-16老
匡釜档,2024,2024-03-17,-9老,2024-03-27,-9老,2024-04-02,-7老
匡釜档,2025,2025-03-25,-1老,2025-03-30,-6老,2025-04-02,-7老
器亲,2016,2016-03-17,1老,2016-03-28,-1老,2016-03-31,-4老
器亲,2017,2017-03-13,-3老,2017-03-27,-2老,2017-03-31,-4老
器亲,2018,2018-03-13,-3老,2018-03-27,-2老,2018-03-29,-6老
器亲,2019,2019-03-09,-7老,2019-03-21,-8老,2019-03-27,-8老
器亲,2020,2020-03-08,-8老,2020-03-23,-6老,2020-03-26,-9老
器亲,2021,2021-03-11,-5老,2021-03-23,-6老,2021-03-25,-10老
器亲,2022,2022-03-10,-6老,2022-03-27,-2老,2022-03-30,-5老
器亲,2023,2023-03-08,-8老,2023-03-16,-13老,2023-03-21,-14老
器亲,2024,2024-03-15,-1老,2024-03-29,0老,2024-04-02,-2老
