瘤痢,斥档,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公
,,惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚)
合碍釜,2016,2016-04-15,-8老,2016-05-06,-5老,2016-05-09,-6老
合碍釜,2017,2017-04-12,-11老,2017-05-05,-6老,2017-05-07,-8老
合碍釜,2018,2018-04-16,-7老,2018-05-01,-10老,2018-05-04,-11老
合碍釜,2019,2019-05-08,15老,2019-05-12,1老,2019-05-15,0老
合碍釜,2020,2020-04-29,6老,2020-05-10,-1老,2020-05-14,-1老
合碍釜,2021,2021-04-14,-9老,2021-05-06,-5老,2021-05-08,-7老
合碍釜,2022,2022-04-11,-12老,2022-04-28,-13老,2022-05-01,-14老
合碍釜,2023,2023-04-20,-3老,2023-05-01,-10老,2023-05-05,-10老
合碍釜,2024,2024-04-16,-7老,2024-05-02,-9老,2024-05-04,-11老
合碍釜,2025,2025-04-17,-6老,2025-05-06,-5老,2025-05-12,-3老
合冕玫,2017,2017-05-04,8老,2017-05-08,-6老,2017-05-12, 
合冕玫,2018,2018-04-26,0老,2018-05-05,-9老,2018-05-10, 
合冕玫,2019,2019-04-27,1老,2019-05-15,1老,2019-05-21, 
合冕玫,2020,2020-05-01,5老,2020-05-12,-2老,2020-05-18, 
合冕玫,2021,2021-05-08,12老,2021-05-12,-2老,2021-05-14, 
合冕玫,2022,2022-05-10,14老,2022-05-12,-2老,2022-05-16, 
合冕玫,2023,2023-05-10,14老,2023-05-11,-3老,2023-05-13, 
合冕玫,2024,2024-05-03,7老,2024-05-07,-7老,2024-05-08, 
合冕玫,2025,2025-05-09,13老,2025-05-16,2老,2025-05-22, 
冕玫,2016,2016-04-15, ,2016-05-08, , , 
荐盔,2016,2016-04-15,-4老,2016-05-06,-7老,2016-05-09,-6老
荐盔,2017,2017-04-18,-1老,2017-05-06,-7老,2017-05-10,-5老
荐盔,2018,2018-04-07,-12老,2018-05-08,-5老,2018-05-11,-4老
荐盔,2019,2019-04-20,1老,2019-05-13,0老,2019-05-16,1老
荐盔,2020,2020-04-14,-5老,2020-05-11,-2老,2020-05-16,1老
荐盔,2021,2021-04-09,-10老,2021-05-04,-9老,2021-05-09,-6老
荐盔,2022,2022-04-15,-4老,2022-05-05,-8老,2022-05-11,-4老
荐盔,2023,2023-04-04,-15老,2023-05-03,-10老,2023-05-07,-8老
荐盔,2024,2024-04-08,-11老,2024-04-30,-13老,2024-05-03,-12老
荐盔,2025,2025-04-16,-3老,2025-05-12,-1老,2025-05-17,2老
芒盔,2016,2016-04-11,4老,2016-05-01,-3老,2016-05-20,8老
芒盔,2017,2017-04-11,4老,2017-05-01,-3老,2017-05-15,3老
芒盔,2018,2018-04-05,-2老,2018-04-29,-5老,2018-05-02,-10老
芒盔,2019,2019-04-04,-3老,2019-05-02,-2老,2019-05-08,-4老
芒盔,2020,2020-04-03,-4老,2020-05-04,0老,2020-05-06,-6老
芒盔,2021,2021-04-03,-4老,2021-04-26,-8老,2021-05-02,-10老
芒盔,2022,2022-04-04,-3老,2022-04-27,-7老,2022-05-02,-10老
芒盔,2023,2023-04-02,-5老,2023-04-26,-8老,2023-04-30,-12老
芒盔,2024,2024-04-01,-6老,2024-04-28,-6老,2024-05-01,-11老
芒盔,2025,2025-04-03,-4老,2025-05-01,-3老,2025-05-04,-8老
救悼,2016,2016-04-15,-1老,2016-05-07,0老,2016-05-12,-1老
救悼,2017,2017-04-12,-4老,2017-05-01,-6老,2017-05-08,-5老
救悼,2018,2018-04-13,-3老,2018-05-01,-6老,2018-05-05,-8老
救悼,2019,2019-04-28,12老,2019-05-01,-6老,2019-05-08,-5老
救悼,2020,2020-04-20,4老,2020-05-02,-5老,2020-05-05,-8老
救悼,2021,2021-04-14,-2老,2021-05-07,0老,2021-05-10,-3老
救悼,2022,2022-04-14,-2老,2022-05-04,-3老,2022-05-07,-6老
救悼,2023,2023-04-10,-6老,2023-04-28,-9老,2023-05-02,-11老
救悼,2024,2024-04-11,-5老,2024-04-27,-10老,2024-05-01,-12老
救悼,2025,2025-04-18,2老,2025-05-06,-1老,2025-05-08,-5老
匡釜档,2016,2016-04-26,-2老,2016-05-13,-4老,2016-05-17, 
匡釜档,2017,2017-04-23,-5老,2017-05-08,-9老,2017-05-12, 
匡釜档,2018,2018-04-20,-8老,2018-05-06,-11老,2018-05-10, 
匡釜档,2019,2019-04-20,-8老,2019-05-13,-4老,2019-05-17, 
匡釜档,2020,2020-04-18,-10老,2020-05-15,-2老,2020-05-21, 
匡釜档,2021,2021-04-14,-14老,2021-05-14,-3老,2021-05-17, 
匡釜档,2022,2022-04-16,-12老,2022-05-12,-5老,2022-05-16, 
匡釜档,2023,2023-04-10,-18老,2023-05-11,-6老,2023-05-16, 
匡釜档,2024,2024-04-17,-11老,2024-05-12,-5老,2024-05-16, 
匡釜档,2025,2025-05-06,8老,2025-05-17,0老,2025-05-19, 
器亲,2016,2016-04-07,-6老,2016-05-02,-3老,2016-05-08,-1老
器亲,2017,2017-04-05,-8老,2017-05-01,-4老,2017-05-07,-2老
器亲,2018,2018-04-07,-6老,2018-05-01,-4老,2018-05-06,-3老
器亲,2019,2019-04-06,-7老,2019-04-21,-14老,2019-05-01,-8老
器亲,2020,2020-04-04,-9老,2020-04-28,-7老,2020-05-12,3老
器亲,2021,2021-03-29,-15老,2021-04-25,-10老,2021-05-02,-7老
器亲,2022,2022-04-07,-6老,2022-04-25,-10老,2022-05-01,-8老
器亲,2023,2023-03-27,-17老,2023-04-24,-11老,2023-04-28,-11老
