Location,Year,Bud_Date,Bud_Gap,Bloom_Date,Bloom_Gap,Full_Date,Full_Gap,Bud_DOY,Bloom_DOY,Full_DOY
북강릉,2016,2016-04-15,-8.0,2016-05-06,-5.0,2016-05-09,-6.0,106.0,127.0,130.0
북강릉,2017,2017-04-12,-11.0,2017-05-05,-6.0,2017-05-07,-8.0,102.0,125.0,127.0
북강릉,2018,2018-04-16,-7.0,2018-05-01,-10.0,2018-05-04,-11.0,106.0,121.0,124.0
북강릉,2019,2019-05-08,15.0,2019-05-12,1.0,2019-05-15,0.0,128.0,132.0,135.0
북강릉,2020,2020-04-29,6.0,2020-05-10,-1.0,2020-05-14,-1.0,120.0,131.0,135.0
북강릉,2021,2021-04-14,-9.0,2021-05-06,-5.0,2021-05-08,-7.0,104.0,126.0,128.0
북강릉,2022,2022-04-11,-12.0,2022-04-28,-13.0,2022-05-01,-14.0,101.0,118.0,121.0
북강릉,2023,2023-04-20,-3.0,2023-05-01,-10.0,2023-05-05,-10.0,110.0,121.0,125.0
북강릉,2024,2024-04-16,-7.0,2024-05-02,-9.0,2024-05-04,-11.0,107.0,123.0,125.0
북강릉,2025,2025-04-17,-6.0,2025-05-06,-5.0,2025-05-12,-3.0,107.0,126.0,132.0
북춘천,2017,2017-05-04,8.0,2017-05-08,-6.0,2017-05-12,,124.0,128.0,132.0
북춘천,2018,2018-04-26,0.0,2018-05-05,-9.0,2018-05-10,,116.0,125.0,130.0
북춘천,2019,2019-04-27,1.0,2019-05-15,1.0,2019-05-21,,117.0,135.0,141.0
북춘천,2020,2020-05-01,5.0,2020-05-12,-2.0,2020-05-18,,122.0,133.0,139.0
북춘천,2021,2021-05-08,12.0,2021-05-12,-2.0,2021-05-14,,128.0,132.0,134.0
북춘천,2022,2022-05-10,14.0,2022-05-12,-2.0,2022-05-16,,130.0,132.0,136.0
북춘천,2023,2023-05-10,14.0,2023-05-11,-3.0,2023-05-13,,130.0,131.0,133.0
북춘천,2024,2024-05-03,7.0,2024-05-07,-7.0,2024-05-08,,124.0,128.0,129.0
북춘천,2025,2025-05-09,13.0,2025-05-16,2.0,2025-05-22,,129.0,136.0,142.0
춘천,2016,2016-04-15,,2016-05-08,,,,106.0,129.0,
수원,2016,2016-04-15,-4.0,2016-05-06,-7.0,2016-05-09,-6.0,106.0,127.0,130.0
수원,2017,2017-04-18,-1.0,2017-05-06,-7.0,2017-05-10,-5.0,108.0,126.0,130.0
수원,2018,2018-04-07,-12.0,2018-05-08,-5.0,2018-05-11,-4.0,97.0,128.0,131.0
수원,2019,2019-04-20,1.0,2019-05-13,0.0,2019-05-16,1.0,110.0,133.0,136.0
수원,2020,2020-04-14,-5.0,2020-05-11,-2.0,2020-05-16,1.0,105.0,132.0,137.0
수원,2021,2021-04-09,-10.0,2021-05-04,-9.0,2021-05-09,-6.0,99.0,124.0,129.0
수원,2022,2022-04-15,-4.0,2022-05-05,-8.0,2022-05-11,-4.0,105.0,125.0,131.0
수원,2023,2023-04-04,-15.0,2023-05-03,-10.0,2023-05-07,-8.0,94.0,123.0,127.0
수원,2024,2024-04-08,-11.0,2024-04-30,-13.0,2024-05-03,-12.0,99.0,121.0,124.0
수원,2025,2025-04-16,-3.0,2025-05-12,-1.0,2025-05-17,2.0,106.0,132.0,137.0
창원,2016,2016-04-11,4.0,2016-05-01,-3.0,2016-05-20,8.0,102.0,122.0,141.0
창원,2017,2017-04-11,4.0,2017-05-01,-3.0,2017-05-15,3.0,101.0,121.0,135.0
창원,2018,2018-04-05,-2.0,2018-04-29,-5.0,2018-05-02,-10.0,95.0,119.0,122.0
창원,2019,2019-04-04,-3.0,2019-05-02,-2.0,2019-05-08,-4.0,94.0,122.0,128.0
창원,2020,2020-04-03,-4.0,2020-05-04,0.0,2020-05-06,-6.0,94.0,125.0,127.0
