station_name,obs_year,bloom_date,bloom_doy
광주,2016,2016-04-22,113
광주,2017,2017-04-28,118
광주,2018,2018-04-27,117
광주,2019,2019-04-26,116
광주,2020,2020-05-04,125
광주,2021,2021-04-25,115
광주,2022,2022-04-24,114
광주,2023,2023-04-22,112
광주,2024,2024-04-23,114
광주,2025,2025-04-28,118
대구,2016,2016-04-20,111
대구,2017,2017-04-28,118
대구,2018,2018-04-27,117
대구,2019,2019-04-30,120
대구,2020,2020-04-30,121
대구,2021,2021-04-25,115
대구,2022,2022-04-26,116
대구,2023,2023-04-20,110
대구,2024,2024-04-27,118
대구,2025,2025-04-25,115
대전,2016,2016-05-02,123
대전,2017,2017-05-05,125
대전,2018,2018-05-02,122
대전,2019,2019-05-10,130
대전,2020,2020-05-06,127
대전,2021,2021-04-28,118
대전,2022,2022-05-05,125
대전,2023,2023-04-26,116
대전,2024,2024-04-27,118
대전,2025,2025-05-01,121
목포,2016,2016-04-29,120
목포,2017,2017-04-29,119
목포,2018,2018-05-02,122
목포,2019,2019-05-04,124
목포,2020,2020-05-06,127
목포,2021,2021-04-29,119
목포,2022,2022-04-27,117
목포,2023,2023-04-30,120
목포,2024,2024-04-27,118
목포,2025,2025-05-03,123
백령도,2016,2016-05-26,147
백령도,2017,2017-05-13,133
백령도,2018,2018-05-27,147
백령도,2019,2019-05-19,139
백령도,2020,2020-06-05,157
백령도,2021,2021-05-27,147
백령도,2022,2022-05-27,147
백령도,2023,2023-05-29,149
백령도,2024,2024-05-27,148
백령도,2025,2025-05-23,143
부산,2016,2016-05-01,122
부산,2017,2017-05-03,123
부산,2018,2018-05-01,121
부산,2019,2019-05-03,123
부산,2020,2020-05-04,125
부산,2021,2021-04-24,114
부산,2022,2022-04-30,120
부산,2023,2023-04-22,112
부산,2024,2024-04-28,119
부산,2025,2025-05-02,122
북강릉,2016,2016-05-06,127
북강릉,2017,2017-05-05,125
북강릉,2018,2018-05-01,121
북강릉,2019,2019-05-12,132
북강릉,2020,2020-05-10,131
북강릉,2021,2021-05-06,126
북강릉,2022,2022-04-28,118
북강릉,2023,2023-05-01,121
북강릉,2024,2024-05-02,123
