species_name,add_info,bloom_region,bloom_period,bloom_start,bloom_end,bloom_start_doy,bloom_end_doy,bloom_mid_doy,bloom_order,bloom_duration,bloom_month,flower_amount_per_tree,nectar_per_flower,sugar_per_flower,honey_yield_per_tree,honey_yield_per_ha,honey_grade
동백나무,,경남 진주,2.21-4.10,2.21,4.10,52,100,76,1,49,2,475.0,357.1,62.7,34.0,37.0,3
매실나무,,경기 수원,3.26-3.31,3.26,3.31,85,90,88,2,6,3,1630.0,10.0,1.8,3.0,2.0,5
벚나무,산벚,경기 수원,4.1-4.13,4.1,4.13,91,103,97,3,13,4,49430.0,1.0,0.34,19.0,18.0,4
벚나무,왕벚,경기 수원,4.1-4.13,4.1,4.13,91,103,97,3,13,4,46529.0,1.8,0.51,27.0,21.0,4
명자나무,,경기 수원,3.29-4.22,3.29,4.22,88,112,100,4,25,3,8669.0,19.8,5.0,50.0,31.0,3
보리수나무,,경기 수원,4.20-4.30,4.20,4.30,110,120,115,5,11,4,46407.0,1.7,1.4,74.0,30.0,3
마가목,,경기 화성,4.23-5.2,4.23,5.2,113,122,118,6,10,4,49125.0,0.2,0.03,2.0,2.0,5
등나무,,경기 수원,4.27-5.11,4.27,5.11,117,131,124,7,15,4,194014.0,0.9,0.6,122.0,19.0,4
칠엽수,,경기 수원,5.3-5.14,5.3,5.14,123,134,128,8,12,5,824721.0,1.0,0.9,806.0,64.0,2
신나무,,강원 원주,5.2-5.22,5.2,5.22,122,142,132,9,21,5,179885.0,0.33,0.19,43.0,27.0,4
아까시나무,,"보령,수원,철원 순서",5.10-5.27,5.10,5.27,130,147,138,10,18,5,30655.0,2.3,1.7,52.0,38.0,3
때죽나무,,경기 수원,5.8-5.30,5.8,5.30,128,150,139,11,23,5,16982.0,4.0,0.9,18.0,32.0,3
족제비싸리,,경기 수원,5.8-6.1,5.8,6.1,128,152,140,12,25,5,10839.0,0.14,0.07,0.9,145.0,1
이나무,암,전남 광양,5.13-5.26,5.13,5.26,133,146,140,12,14,5,82025.0,1.7,1.3,123.0,30.0,3
이나무,수,전남 광양,5.13-5.26,5.13,5.26,133,146,140,12,14,5,84976.0,9.7,5.0,525.0,128.0,3
산딸나무,,경기 수원,5.12-6.7,5.12,6.7,132,158,145,13,27,5,3156.0,0.37,0.04,0.2,0.2,5
감나무,고동시,경기 수원,5.19-6.2,5.19,6.2,139,153,146,14,15,5,4429.0,43.1,10.0,31.0,25.0,4
감나무,청도반시,경기 수원,5.19-6.2,5.19,6.2,139,153,146,14,15,5,2229.0,77.8,10.4,29.0,16.0,4
백합나무,,경기 수원,5.18-6.5,5.18,6.5,138,156,147,15,19,5,1795.0,391.5,66.3,137.0,21.0,4
먼나무,수,제주,5.20-6.5,5.20,6.5,140,156,148,16,17,5,1052681.0,0.34,0.17,202.0,147.0,1
먼나무,암,제주,5.20-6.5,5.20,6.5,140,156,148,16,17,5,386267.0,1.22,0.55,246.0,233.0,1
뽕잎피나무,,제주,5.20-6.5,5.20,6.5,140,156,148,16,17,5,25121.0,3.2,1.2,35.0,120.0,1
꽝꽝나무,암,전남 보성,5.20-6.6,5.20,6.6,140,157,148,16,18,5,45443.0,0.3,0.2,10.0,11.0,4
꽝꽝나무,수,전남 보성,5.21-6.6,5.21,6.6,141,157,149,17,17,5,1040932.0,0.1,0.1,97.0,107.0,4
쥐똥나무,,경기 수원,5.29-6.13,5.29,6.13,149,164,156,18,16,5,,0.7,0.4,1397.0,46.0,3
광나무,,전남 순천,6.2-6.17,6.2,6.17,153,168,160,19,16,6,265872.0,0.8,0.6,192.0,120.0,1
아왜나무,,전남 순천,6.5-6.19,6.5,6.19,156,170,163,20,15,6,387720.0,0.5,0.5,201.0,125.0,1
밤나무,옥광,경기 수원,6.2-6.23,6.2,6.23,153,174,164,21,22,6,6607.0,123.7,42.7,324.0,43.0,3
밤나무,축파,경기 수원,6.2-6.23,6.2,6.23,153,174,164,21,22,6,3810.0,68.8,22.3,98.0,15.0,4
밤나무,대보,경기 수원,6.2-6.23,6.2,6.23,153,174,164,21,22,6,3824.0,232.7,91.4,432.0,44.0,3
밤나무,이평,경기 수원,6.2-6.23,6.2,6.23,153,174,164,21,22,6,7150.0,99.0,35.2,290.0,40.0,3
찰피나무,,경기 수원,6.14-6.20,6.14,6.20,165,171,168,22,7,6,71115.0,0.7,0.7,57.0,28.0,4
싸리,,경기 수원,6.1-7.4,6.1,7.4,152,185,168,22,34,6,986.0,0.1,0.05,0.1,9.8,5
피나무,,경기 수원,6.18-6.28,6.18,6.28,169,179,174,23,11,6,178872.0,107.0,1.0,194.0,95.0,2
