station_name,obs_year,bloom_date,bloom_doy
광주,2016,2016-03-29,89
광주,2017,2017-04-02,92
광주,2018,2018-03-27,86
광주,2019,2019-03-27,86
광주,2020,2020-03-23,83
광주,2021,2021-03-18,77
광주,2022,2022-03-25,84
광주,2023,2023-03-23,82
광주,2024,2024-03-27,87
광주,2025,2025-03-27,86
대구,2016,2016-03-25,85
대구,2017,2017-03-29,88
대구,2018,2018-03-27,86
대구,2019,2019-03-21,80
대구,2020,2020-03-21,81
대구,2021,2021-03-23,82
대구,2022,2022-03-26,85
대구,2023,2023-03-21,80
대구,2024,2024-03-27,87
대구,2025,2025-03-26,85
대전,2016,2016-03-31,91
대전,2017,2017-04-03,93
대전,2018,2018-03-31,90
대전,2019,2019-03-29,88
대전,2020,2020-03-24,84
대전,2021,2021-03-23,82
대전,2022,2022-03-31,90
대전,2023,2023-03-22,81
대전,2024,2024-03-30,90
대전,2025,2025-04-01,91
목포,2016,2016-03-31,91
목포,2017,2017-04-02,92
목포,2018,2018-03-29,88
목포,2019,2019-03-31,90
목포,2020,2020-03-26,86
목포,2021,2021-03-24,83
목포,2022,2022-03-31,90
목포,2023,2023-03-26,85
목포,2024,2024-03-29,89
목포,2025,2025-03-27,86
백령도,2016,2016-04-17,108
백령도,2017,2017-04-13,103
백령도,2018,2018-04-23,113
백령도,2019,2019-04-15,105
백령도,2020,2020-04-13,104
백령도,2021,2021-04-13,103
백령도,2022,2022-04-21,111
백령도,2023,2023-04-10,100
백령도,2024,2024-04-14,105
백령도,2025,2025-04-21,111
부산,2016,2016-03-28,88
부산,2017,2017-03-28,87
부산,2018,2018-03-27,86
부산,2019,2019-03-22,81
부산,2020,2020-03-23,83
부산,2021,2021-03-22,81
부산,2022,2022-03-28,87
부산,2023,2023-03-19,78
부산,2024,2024-03-25,85
부산,2025,2025-03-28,87
북강릉,2016,2016-04-04,95
북강릉,2017,2017-04-03,93
북강릉,2018,2018-03-31,90
북강릉,2019,2019-03-31,90
북강릉,2020,2020-03-26,86
북강릉,2021,2021-03-28,87
북강릉,2022,2022-04-06,96
북강릉,2023,2023-03-26,85
북강릉,2024,2024-04-05,96
북강릉,2025,2025-04-01,91
북춘천,2017,2017-04-11,101
북춘천,2018,2018-04-06,96
북춘천,2019,2019-04-07,97
북춘천,2020,2020-04-01,92
북춘천,2021,2021-04-01,91
북춘천,2022,2022-04-11,101
북춘천,2023,2023-04-01,91
북춘천,2024,2024-04-03,94
북춘천,2025,2025-04-08,98
서귀포,2019,2019-03-25,84
서귀포,2020,2020-03-26,86
서귀포,2021,2021-03-18,77
서귀포,2022,2022-03-25,84
서귀포,2023,2023-03-24,83
서귀포,2024,2024-03-30,90
서귀포,2025,2025-03-27,86
서산,2016,2016-04-06,97
서산,2017,2017-04-10,100
서울,2016,2016-04-02,93
서울,2017,2017-04-06,96
서울,2018,2018-04-02,92
서울,2019,2019-04-03,93
서울,2020,2020-03-27,87
서울,2021,2021-03-24,83
서울,2022,2022-04-04,94
서울,2023,2023-03-25,84
서울,2024,2024-04-01,92
서울,2025,2025-04-04,94
수원,2016,2016-04-02,93
수원,2017,2017-04-08,98
수원,2018,2018-04-02,92
수원,2019,2019-04-07,97
수원,2020,2020-03-31,91
수원,2021,2021-03-29,88
수원,2022,2022-04-11,101
수원,2023,2023-03-30,89
수원,2024,2024-04-03,94
수원,2025,2025-04-07,97
안동,2016,2016-04-02,93
안동,2017,2017-04-05,95
안동,2018,2018-03-30,89
안동,2019,2019-03-30,89
안동,2020,2020-03-27,87
안동,2021,2021-03-26,85
안동,2022,2022-04-02,92
안동,2023,2023-03-23,82
안동,2024,2024-04-01,92
안동,2025,2025-04-02,92
여수,2016,2016-03-27,87
여수,2017,2017-03-31,90
여수,2018,2018-03-29,88
여수,2019,2019-03-26,85
여수,2020,2020-03-25,85
여수,2021,2021-03-21,80
여수,2022,2022-03-29,88
여수,2023,2023-03-23,82
여수,2024,2024-03-26,86
여수,2025,2025-03-30,89
울릉도,2016,2016-04-02,93
울릉도,2017,2017-04-03,93
울릉도,2018,2018-04-02,92
울릉도,2019,2019-03-20,79
울릉도,2020,2020-03-25,85
울릉도,2021,2021-03-24,83
울릉도,2022,2022-04-04,94
울릉도,2023,2023-03-20,79
울릉도,2024,2024-03-27,87
울릉도,2025,2025-03-30,89
울산,2016,2016-03-28,88
울산,2017,2017-03-29,88
울산,2018,2018-03-29,88
울산,2019,2019-03-23,82
울산,2020,2020-03-23,83
울산,2021,2021-03-21,80
울산,2022,2022-03-28,87
울산,2023,2023-03-22,81
울산,2024,2024-03-28,88
울산,2025,2025-03-27,86
인천,2016,2016-04-06,97
인천,2017,2017-04-10,100
인천,2018,2018-04-06,96
인천,2019,2019-04-08,98
인천,2020,2020-03-30,90
인천,2021,2021-03-31,90
인천,2022,2022-04-09,99
인천,2023,2023-04-02,92
인천,2024,2024-04-03,94
인천,2025,2025-04-11,101
전주,2016,2016-03-27,87
전주,2017,2017-04-02,92
전주,2018,2018-03-27,86
전주,2019,2019-03-29,88
전주,2020,2020-03-26,86
전주,2021,2021-03-18,77
전주,2022,2022-03-30,89
전주,2023,2023-03-22,81
전주,2024,2024-03-26,86
전주,2025,2025-03-27,86
제주,2016,2016-03-21,81
제주,2017,2017-03-28,87
제주,2018,2018-03-22,81
제주,2019,2019-03-25,84
제주,2020,2020-03-24,84
제주,2021,2021-03-17,76
제주,2022,2022-03-25,84
제주,2023,2023-03-22,81
제주,2024,2024-03-23,83
제주,2025,2025-03-26,85
창원,2016,2016-03-28,88
창원,2017,2017-03-27,86
창원,2018,2018-03-28,87
창원,2019,2019-03-21,80
창원,2020,2020-03-23,83
창원,2021,2021-03-18,77
창원,2022,2022-03-27,86
창원,2023,2023-03-21,80
창원,2024,2024-03-23,83
창원,2025,2025-03-27,86
청주,2016,2016-04-01,92
청주,2017,2017-04-04,94
청주,2018,2018-04-01,91
청주,2019,2019-03-28,87
청주,2020,2020-03-26,86
청주,2021,2021-03-24,83
청주,2022,2022-04-02,92
청주,2023,2023-03-23,82
청주,2024,2024-03-31,91
청주,2025,2025-03-31,90
춘천,2016,2016-04-05,96
포항,2016,2016-03-28,88
포항,2017,2017-03-27,86
포항,2018,2018-03-27,86
포항,2019,2019-03-21,80
포항,2020,2020-03-23,83
포항,2021,2021-03-23,82
포항,2022,2022-03-27,86
포항,2023,2023-03-16,75
포항,2024,2024-03-29,89
포항,2025,2025-03-26,85
홍성,2018,2018-04-04,94
홍성,2019,2019-04-07,97
홍성,2020,2020-04-01,92
홍성,2021,2021-03-31,90
홍성,2022,2022-04-08,98
홍성,2023,2023-03-30,89
홍성,2024,2024-04-07,98
홍성,2025,2025-04-07,97
흑산도,2016,2016-04-03,94
흑산도,2017,2017-04-06,96
흑산도,2018,2018-04-05,95
흑산도,2019,2019-04-04,94
흑산도,2020,2020-04-08,99
흑산도,2021,2021-04-01,91
흑산도,2022,2022-04-08,98
흑산도,2023,2023-04-02,92
흑산도,2024,2024-03-31,91
흑산도,2025,2025-04-06,96
