SIDO,SIGUNGU,FARM_COUNT,WESTERN_BEE,NATIVE_BEE,TOTAL_COLONIES
경상북도,성주군,2,1070,0,1070
강원특별자치도,횡성군,7,365,265,630
경상북도,안동시,1,450,0,450
경기도,화성시,4,431,0,431
경상남도,산청군,2,340,0,340
충청남도,홍성군,2,330,0,330
전북특별자치도,고창군,1,300,0,300
전라남도,보성군,1,210,0,210
경상남도,사천시,1,200,0,200
충청북도,청주시,1,0,200,200
경상북도,영주시,1,200,0,200
경기도,고양시,1,120,0,120
강원특별자치도,삼척시,1,110,0,110
인천광역시,서구,1,110,0,110
경기도,용인시,1,104,0,104
경상북도,문경시,1,70,30,100
경상북도,상주시,1,100,0,100
경기도,안산시,1,100,0,100
경기도,김포시,1,76,0,76
충청북도,충주시,1,55,3,58
제주특별자치도,제주시,1,50,0,50
전북특별자치도,완주군,1,48,0,48
전북특별자치도,임실군,1,31,0,31
경기도,파주시,1,30,0,30
강원특별자치도,홍천군,1,0,30,30
경상북도,경주시,1,30,0,30
충청남도,논산시,1,0,20,20
